date	ln_rSalesGoods	resid_rCIPI	ln_rGDP	ln_rISratio
2007q3	6.1675167	.0033710506	9.6116953	1.3724145
2007q4	6.1744108	.0015334536	9.6152573	1.3687565
2008q1	6.1609964	-.0013557923	9.608408	1.3801562
2008q2	6.1704473	-.0017610391	9.6133595	1.3668762
2008q3	6.1546459	-.0013892081	9.6085558	1.3792619
2008q4	6.1050162	-.0045975493	9.5871992	1.4194369
2009q1	6.0860925	-.0099450313	9.573247	1.4187393
2009q2	6.0833597	-.013070135	9.5718927	1.3950925
2009q3	6.0910835	-.014112148	9.5751553	1.3584726
2009q4	6.0829034	-.0033985293	9.5847893	1.3594719
2010q1	6.0838156	.0006745694	9.5891085	1.3604913
2010q2	6.0940213	.0033181552	9.5987225	1.3582072
2010q3	6.0919886	.0078933937	9.6054497	1.3784636
2010q4	6.1145668	.0039032584	9.6117306	1.3656924
2011q1	6.11058	.0016873404	9.6078606	1.3732266
2011q2	6.1187577	.0038540056	9.6151085	1.373278
2011q3	6.1346989	-.00086643652	9.6172142	1.3551605
2011q4	6.1493225	.0053517041	9.6284094	1.3513726
2012q1	6.1668873	.0036791384	9.6350222	1.3428861
2012q2	6.176075	.0050173276	9.639679	1.3462169
2012q3	6.1791883	.0046109525	9.6408758	1.3562154
2012q4	6.189085	.0010065975	9.6410999	1.3510052
2013q1	6.2033448	.0032154289	9.6480713	1.343207
2013q2	6.2075834	.0034016767	9.6499853	1.3451786
2013q3	6.2160072	.0070259124	9.6576729	1.349838
2013q4	6.2353907	.0066091814	9.6673813	1.342499
2014q1	6.232841	.0020216745	9.6644077	1.3496939
2014q2	6.2488165	.0034855136	9.6741238	1.341278
2014q3	6.2668209	.0041703018	9.6862297	1.3320795
2014q4	6.2689071	.0047750636	9.691947	1.3402613
2015q1	6.2639694	.0070875087	9.6970158	1.3596724
2015q2	6.2768316	.0057630106	9.7034607	1.358714
2015q3	6.2876725	.0043318775	9.7083769	1.3567681
2015q4	6.2874866	.0034635526	9.7105503	1.364489
2016q1	6.2911987	.0024700309	9.7126293	1.3663676
2016q2	6.2985816	-.00057058292	9.7161427	1.3582286
